Capacity 1C,Voltage 1C,Capacity 5C,Voltage 5C,Capacity 15C,Voltage 15C,Capacity 20C,Voltage 20C,
4.73,12.60,2.70,12.30,2.70,11.78,2.70,11.40,
8.78,12.53,6.76,12.16,8.78,11.69,8.78,11.31,
16.89,12.50,6.76,12.05,10.81,11.65,14.86,11.27,
25.00,12.49,12.84,11.95,16.89,11.59,20.95,11.21,
39.19,12.46,22.97,11.88,25.00,11.50,29.05,11.11,
47.30,12.42,37.16,11.81,33.11,11.41,35.14,11.04,
55.41,12.39,51.35,11.71,43.24,11.33,41.22,10.96,
63.51,12.35,63.51,11.67,57.43,11.27,51.35,10.87,
73.65,12.32,75.68,11.64,63.51,11.20,59.46,10.80,
81.76,12.30,93.92,11.60,75.68,11.10,71.62,10.73,
93.92,12.28,114.19,11.54,89.86,11.04,83.78,10.65,
110.14,12.25,122.30,11.50,100.00,11.00,91.89,10.58,
118.24,12.21,136.49,11.46,110.14,10.96,104.05,10.51,
128.38,12.19,158.78,11.40,122.30,10.92,116.22,10.44,
138.51,12.15,148.65,11.41,132.43,10.87,126.35,10.36,
146.62,12.12,168.92,11.37,144.59,10.83,140.54,10.31,
154.73,12.08,181.08,11.36,158.78,10.80,158.78,10.27,
162.84,12.05,189.19,11.33,172.97,10.78,175.00,10.24,
177.03,12.02,197.30,11.32,191.22,10.76,189.19,10.22,
181.08,11.98,213.51,11.29,209.46,10.72,203.38,10.21,
197.30,11.94,229.73,11.23,221.62,10.68,219.59,10.20,
211.49,11.91,243.92,11.20,233.78,10.68,235.81,10.18,
221.62,11.88,256.08,11.18,250.00,10.65,250.00,10.18,
227.70,11.88,266.22,11.16,266.22,10.62,266.22,10.18,
239.86,11.84,278.38,11.15,280.41,10.61,288.51,10.19,
260.14,11.84,292.57,11.14,294.59,10.61,302.70,10.19,
270.27,11.80,304.73,11.14,306.76,10.58,316.89,10.19,
282.43,11.77,310.81,11.11,318.92,10.58,333.11,10.19,
292.57,11.76,325.00,11.07,333.11,10.57,347.30,10.17,
302.70,11.74,333.11,11.07,345.27,10.54,361.49,10.17,
312.84,11.72,339.19,11.05,359.46,10.53,373.65,10.17,
327.03,11.70,349.32,11.02,375.68,10.50,389.86,10.17,
337.16,11.66,363.51,11.02,393.92,10.50,406.08,10.16,
349.32,11.63,371.62,11.01,410.14,10.49,426.35,10.16,
355.41,11.63,389.86,10.95,428.38,10.49,442.57,10.16,
361.49,11.63,406.08,10.95,444.59,10.46,458.78,10.16,
375.68,11.62,420.27,10.94,462.84,10.45,470.95,10.15,
391.89,11.58,430.41,10.91,483.11,10.45,487.16,10.13,
406.08,11.56,434.46,10.91,505.41,10.43,505.41,10.14,
420.27,11.55,444.59,10.88,523.65,10.43,519.59,10.14,
436.49,11.51,458.78,10.89,539.86,10.39,529.73,10.12,
444.59,11.51,468.92,10.89,556.08,10.38,539.86,10.11,
456.76,11.48,481.08,10.84,574.32,10.38,556.08,10.09,
477.03,11.47,501.35,10.83,596.62,10.37,576.35,10.10,
493.24,11.44,517.57,10.83,610.81,10.35,596.62,10.10,
505.41,11.44,527.70,10.82,629.05,10.35,610.81,10.05,
523.65,11.43,535.81,10.79,641.22,10.32,631.08,10.04,
535.81,11.38,550.00,10.79,665.54,10.30,651.35,10.01,
550.00,11.38,562.16,10.79,681.76,10.28,671.62,9.98,
568.24,11.36,574.32,10.78,700.00,10.27,693.92,9.97,
580.41,11.36,588.51,10.76,716.22,10.24,710.14,9.93,
592.57,11.31,602.70,10.73,736.49,10.23,720.27,9.92,
608.78,11.33,614.86,10.73,754.73,10.19,736.49,9.90,
622.97,11.30,629.05,10.73,770.95,10.17,748.65,9.86,
631.08,11.29,643.24,10.72,783.11,10.16,764.86,9.83,
651.35,11.29,655.41,10.69,789.19,10.14,781.08,9.80,
665.54,11.27,667.57,10.69,807.43,10.10,799.32,9.75,
675.68,11.26,681.76,10.68,819.59,10.07,811.49,9.71,
695.95,11.25,697.97,10.67,827.70,10.05,825.68,9.64,
689.86,11.25,712.16,10.64,854.05,9.98,839.86,9.61,
708.11,11.23,728.38,10.61,839.86,10.00,852.03,9.57,
722.30,11.23,744.59,10.58,864.19,9.92,862.16,9.48,
738.51,11.22,764.86,10.58,874.32,9.88,870.27,9.40,
748.65,11.21,789.19,10.53,884.46,9.82,878.38,9.30,
764.86,11.21,799.32,10.53,898.65,9.72,890.54,9.20,
781.08,11.18,821.62,10.49,908.78,9.64,900.68,9.10,
793.24,11.18,837.84,10.46,918.92,9.57,,,
807.43,11.17,850.00,10.44,925.00,9.45,,,
827.70,11.12,860.14,10.39,929.05,9.37,,,
843.92,11.10,882.43,10.33,933.11,9.26,,,
856.08,11.07,892.57,10.29,941.22,9.16,,,
864.19,11.07,902.70,10.25,945.27,9.07,,,
884.46,11.05,910.81,10.18,,,,,
894.59,11.04,920.95,10.13,,,,,
902.70,11.03,931.08,10.01,,,,,
914.86,11.00,941.22,9.89,,,,,
920.95,10.97,945.27,9.82,,,,,
929.05,10.93,945.27,9.78,,,,,
939.19,10.84,953.38,9.72,,,,,
945.27,10.79,955.41,9.65,,,,,
949.32,10.74,959.46,9.60,,,,,
953.38,10.72,961.49,9.55,,,,,
959.46,10.62,965.54,9.46,,,,,
961.49,10.56,967.57,9.36,,,,,
965.54,10.48,967.57,9.30,,,,,
971.62,10.42,971.62,9.23,,,,,
971.62,10.38,971.62,9.19,,,,,
973.65,10.33,973.65,9.14,,,,,
977.70,10.28,975.68,9.07,,,,,
979.73,10.19,,,,,,,
981.76,10.11,,,,,,,
981.76,10.05,,,,,,,
985.81,10.01,,,,,,,
985.81,9.95,,,,,,,
985.81,9.87,,,,,,,
993.92,9.81,,,,,,,
993.92,9.73,,,,,,,
993.92,9.63,,,,,,,
995.95,9.57,,,,,,,
995.95,9.53,,,,,,,
995.95,9.43,,,,,,,
997.97,9.39,,,,,,,
997.97,9.30,,,,,,,
997.97,9.22,,,,,,,
997.97,9.17,,,,,,,
997.97,9.13,,,,,,,
1000.00,9.05,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,