PWM,V,I,w
0,12.6,0.21,0
0,12.3,0.22,0
0,12,0.22,0
0,11.7,0.23,0
0,11.4,0.23,0
0,11.1,0.24,0
0,10.8,0.24,0
0,10.5,0.25,0
0,10.2,0.26,0
0,9.9,0.26,0
20,12.6,0.59,204.6
20,12.3,0.59,204.6
20,12,0.61,204.6
20,11.7,0.62,204.6
20,11.4,0.63,204.6
20,11.1,0.64,204.5
20,10.8,0.66,204.5
20,10.5,0.66,204.5
20,10.2,0.67,204.5
20,9.9,0.69,204.5
50,12.6,1.26,315.7
50,12.3,1.27,315.6
50,12,1.3,315.6
50,11.7,1.32,315.5
50,11.4,1.35,315.5
50,11.1,1.39,315.4
50,10.8,1.38,315.5
50,10.5,1.4,315.4
50,10.2,1.42,315.5
50,9.9,1.44,315.5
75,12.6,2.18,408.1
75,12.3,2.23,407.8
75,12,2.22,407.9
75,11.7,2.27,407.9
75,11.4,2.33,407.8
75,11.1,2.33,407.7
75,10.8,2.32,407.8
75,10.5,2.35,407.7
75,10.2,2.38,407.8
75,9.9,2.41,407.8
90,12.6,2.96,462.5
90,12.3,3.02,462.4
90,12,3.08,462.4
90,11.7,3.12,462.3
90,11.4,3.13,462.2
90,11.1,3.14,462.2
90,10.8,3.17,462.2
90,10.5,1.11,456.5
90,10.2,2.89,443.1
90,9.9,2.8,133.7
100,12.6,3.56,499.9
100,12.3,3.65,499.8
100,12,3.66,496.7
100,11.7,3.55,489.8
100,11.4,3.49,482
100,11.1,3.38,472.4
100,10.8,3.23,465.2
100,10.5,3.07,454.6
100,10.2,2.93,442.5
100,9.9,2.81,433.5